lr-Adam,step,val_loss,val_accuracy,epoch,train_loss
0.0003333333333333333,0,,,,
,2,2.504027843475342,0.0,0,
,2,,,0,2.605029821395874
0.0007333333333333334,3,,,,
,5,1.9456024169921875,0.0,1,
,5,,,1,2.2799863815307617
0.001,6,,,,
,8,1.795818567276001,0.0,2,
,8,,,2,1.721875786781311
0.001,9,,,,
,11,1.5849040746688843,0.6666666865348816,3,
,11,,,3,1.4313145875930786
0.001,12,,,,
,14,1.4841572046279907,0.3333333432674408,4,
,14,,,4,1.2403751611709595
0.001,15,,,,
,17,1.3846964836120605,0.6666666865348816,5,
,17,,,5,0.873795211315155
0.001,18,,,,
,20,1.262100338935852,0.6666666865348816,6,
,20,,,6,0.9025374054908752
0.001,21,,,,
,23,1.1422057151794434,0.6666666865348816,7,
,23,,,7,0.6641188263893127
0.001,24,,,,
,26,1.1859478950500488,0.6666666865348816,8,
,26,,,8,0.5885216593742371
0.001,27,,,,
,29,1.1527400016784668,0.6666666865348816,9,
,29,,,9,0.43377885222435
0.001,30,,,,
,32,1.1296006441116333,0.6666666865348816,10,
,32,,,10,0.34923025965690613
0.001,33,,,,
,35,1.115875005722046,0.6666666865348816,11,
,35,,,11,0.2918480932712555
0.001,36,,,,
,38,0.231163889169693,0.6666666865348816,12,
,38,,,12,0.24336235225200653
0.001,39,,,,
,41,0.20865848660469055,0.6666666865348816,13,
,41,,,13,0.2007390856742859
0.001,42,,,,
,44,0.19564609229564667,0.6666666865348816,14,
,44,,,14,0.1896432489156723
0.001,45,,,,
,47,0.1081165224313736,0.6666666865348816,15,
,47,,,15,0.1755039244890213
0.001,48,,,,
,50,0.10481114685535431,0.6666666865348816,16,
,50,,,16,0.14316725730895996
0.001,51,,,,
,53,0.0946534276008606,0.6666666865348816,17,
,53,,,17,0.1263875514268875
0.001,54,,,,
,56,0.08617152273654938,0.6666666865348816,18,
,56,,,18,0.14072714745998383
0.001,57,,,,
,59,0.08108384907245636,1.0,19,
,59,,,19,0.1538417786359787
